Date;AgeAdult;AgeMax;BatchMode;DNAFill;DenunciationCost;DifferentialCosts;DisplayPeriod;DumpStart;EraseNetwork;FriendshipValue;GeneCoding;GeneLength;GroupMinSize;HonoringCost;JoiningBonus;Judas;MaxFriends;MaxOffer;MutationRate;NbCrossover;NbInteractions;NbTraitors;NumberOfGroups;PopulationSize;ReproGainsThreshold;ReproductionRate;ResultDir;Rounds;SacrificeHeredity;SampleSize;ScenarioName;SelectionPressure;Selectivity;StartFromFile;TimeLimit;Title;LastStep;Patriot;NonPatriot;Demand;SelfSacrifice;NbHeroes
190325183742;0;40;1;0;0;0;10;5000;0;10;Weighted;8;0;100;15;30;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;22;9;7;1;5
190325183830;0;40;1;0;200;0;10;5000;0;0;Weighted;8;0;100;10;0;10;50;5;1;100;90;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;75;5;77;2;7
190325183944;0;40;1;0;200;0;10;5000;0;20;Weighted;8;0;100;20;50;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;26;50;1;4
190325184234;0;40;1;0;100;0;10;5000;0;15;Weighted;8;0;100;0;0;10;50;5;1;100;60;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;78;0;2
190325184306;0;40;1;0;0;0;10;5000;0;20;Weighted;8;0;100;0;10;50;5;1;100;0;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;2;2;0;0;1
190325184314;0;40;1;0;0;0;10;5000;0;5;Weighted;8;0;100;15;10;10;50;5;1;100;30;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;3;1;0;0;2
190325184420;0;40;1;0;100;0;10;5000;0;0;Weighted;8;0;100;10;40;10;50;5;1;100;100;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;76;5;77;2;7
190325184451;0;40;1;0;200;0;10;5000;0;10;Weighted;8;0;100;20;30;10;50;5;1;100;10;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;32;50;1;5
190325184615;0;40;1;0;100;0;10;5000;0;15;Weighted;8;0;100;5;10;10;50;5;1;100;60;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;20;1;50;1;4
190325184624;0;40;1;0;200;0;10;5000;0;0;Weighted;8;0;100;20;40;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;74;26;71;2;5
190325184651;0;40;1;0;0;0;10;5000;0;5;Weighted;8;0;100;10;0;10;50;5;1;100;100;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;0;0;2
190325184800;0;40;1;0;100;0;10;5000;0;20;Weighted;8;0;100;15;30;10;50;5;1;100;50;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;15;50;1;4
190325185152;0;40;1;0;200;0;10;5000;0;10;Weighted;8;0;100;0;50;10;50;5;1;100;90;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;1;2;68;0;3
190325185243;0;40;1;0;0;0;10;5000;0;15;Weighted;8;0;100;5;20;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;3;2;0;0;2
190325185406;0;40;1;0;0;0;10;5000;0;15;Weighted;8;0;100;10;20;10;50;5;1;100;10;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;2;2;0;0;2
190325185528;0;40;1;0;100;0;10;5000;0;10;Weighted;8;0;100;15;10;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;28;50;1;5
190325185737;0;40;1;0;200;0;10;5000;0;0;Weighted;8;0;100;20;50;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;83;17;78;2;6
190325190014;0;40;1;0;100;0;10;5000;0;20;Weighted;8;0;100;0;10;50;5;1;100;0;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;2;2;0;0;1
190325190149;0;40;1;0;200;0;10;5000;0;5;Weighted;8;0;100;5;40;10;50;5;1;100;30;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;10;1;51;1;4
190325190319;0;40;1;0;0;0;10;5000;0;10;Weighted;8;0;100;5;0;10;50;5;1;100;100;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;1;1;0;0;1
190325190519;0;40;1;0;100;0;10;5000;0;0;Weighted;8;0;100;10;50;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;71;6;74;2;7
190325190634;0;40;1;0;0;0;10;5000;0;15;Weighted;8;0;100;0;10;50;5;1;100;0;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;1;1;0;0;1
190325190822;0;40;1;0;200;0;10;5000;0;5;Weighted;8;0;100;15;40;10;50;5;1;100;80;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;27;50;2;6
190325190911;0;40;1;0;0;0;10;5000;0;20;Weighted;8;0;100;20;0;10;50;5;1;100;40;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;2;2;0;0;1
190325191011;0;40;1;0;100;0;10;5000;0;0;Weighted;8;0;100;5;10;10;50;5;1;100;10;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;3;1;70;0;3
190325191022;0;40;1;0;200;0;10;5000;0;15;Weighted;8;0;100;10;30;10;50;5;1;100;30;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;6;50;1;5
190325191030;0;40;1;0;0;0;10;5000;0;20;Weighted;8;0;100;20;50;10;50;5;1;100;20;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;5;4;0;1;3
190325191425;0;40;1;0;200;0;10;5000;0;10;Weighted;8;0;100;15;10;10;50;5;1;100;50;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;20;50;1;5
190325191724;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;0;0;10;50;5;1;100;90;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;0;0;72;0;2
190325191730;0;40;1;0;200;0;10;5000;0;15;Weighted;8;0;100;15;40;10;50;5;1;100;60;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;52;19;50;1;4
190325191811;0;40;1;0;0;0;10;5000;0;0;Weighted;8;0;100;0;20;10;50;5;1;100;30;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;1;4;50;1;3
190325191904;0;40;1;0;100;0;10;5000;0;5;Weighted;8;0;100;20;30;10;50;5;1;100;70;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;28;50;2;6
190325192030;0;40;1;0;200;0;10;5000;0;20;Weighted;8;0;100;10;0;10;50;5;1;100;60;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;51;7;50;1;5
190325192307;0;40;1;0;100;0;10;5000;0;10;Weighted;8;0;100;5;10;10;50;5;1;100;90;1;200;10;30;./___Results;10;50;5;Sacrifice;6;10;0;10000;Evolife;9990;19;1;51;1;4
